id,feet,median
sg:9cfed40ff4dd4b54879dad9164062d70,1720,190.0
sg:8df7064d19624117a222a81257a88b2f,86848,12.0
sg:9843bc462b054107814a354a0e39dbd5,86276,92.0
sg:05d509241ab046b09710852420e04548,2019,43.5
sg:1d18874d385647c49b60f7c3864bee7a,6871,99.0
sg:e7fffe882dcf4774b1351d7d59f0951a,24738,10.0
sg:0c01d753223742fd97375fd9ca380074,16307,29.0
sg:c3ff7786b075401bb9fd54c0221d6795,1795,40.0
sg:bfa9d866728c427b9c2886b9f63629f4,4234,27.0
sg:006af95005f84010ade266b5094cd621,22525,16.5
sg:aeb6a8d730244c4db7eafd7b2ca84ecf,28105,67.0
sg:f6680a59c2f947cbb6db465ca580c33a,2226,76.0
sg:777ff1fe893549f0ab79bd90556bf093,1500,107.0
sg:60603e3c39e44aa0a78052c0e5566cf1,1490,245.5
sg:2c7d187596054fbfbde0fc993a7ac244,1678,20.0
sg:ac6a576700a44102b836ce357cc65fea,27920,8.0
sg:04a11227b8d4439b871bcfac8e28e596,1268,21.0
sg:bc9182cbf9e649638f0461dc0df58f00,1124,47.0
sg:9c673409341a4efaa59fa242a6621109,1856,13.0
sg:0e5487e070b0464f9e4067f5c45b9225,4577,21.0
sg:b883a6f94ae9460e99c58996a88b00ff,10571,16.0
sg:2154021ad0384fd08a5ab1582f9bb509,18025,36.5
sg:e1ade8c81e8d43ba95fb4edefe4c9dcb,1954,23.5
sg:39e9580387d640b8b7cb1403c5162bba,21017,23.5
sg:cf894ecd989f46ea853514d3e9f6d33c,23421,133.5
sg:1c6f659a438b410798ae426f89fdd176,131856,15.0
sg:c00ae74bc617474a8908ba74033978ce,35297,19.0
sg:3f590544c9e5425d9efeeff9ba3a06cb,27937,15.5
sg:a6c5e63d50944bda81297f4cf3549f99,7165,120.5
sg:3d54cc0a6fde47b4a3075370ee3c666b,2137,18.0
sg:ad8e309434244cb997374d81e2972138,41078,34.0
sg:0cab8bf186ef449b94943f955558a102,21352,20.0
sg:085e62a52af145429718a7d692550ec1,17666,95.0
sg:0b6a4be416e748318586f028d6d42abf,22826,65.5
sg:e22b58699c204c4f9ab0993987b288de,45818,10.0
sg:21f211c7f2aa4d548645104fd069b12e,71928,22.0
sg:96efe4aa66a74b08b86d57a9ef7244a2,787,26.0
sg:111b9495e7754f58a5ef4f47af8bc011,35019,23.0
sg:2e57356f4b064bc69dfeb4afd1857734,12105,13.0
sg:6a97ae9222454015b9e7cfff6bc787df,22030,78.0
sg:03f7713acf5742389a5fdf552055abee,7570,36.0
sg:0b580c3e6d8f488ab53d96a65e8f6992,5090,84.0
sg:13e37f2535dc4fec9dae50e28249083b,2913,11.25
sg:c35960c22a3a47a9b0a23a729e72aa69,140678,85.5
sg:7ad14438c0554dfaad387bbe04ad5e93,32498,30.0
