id,feet,median
sg:3e45ddd3d78b4371962b9ed3be3f45e8,12772,19.0
sg:8ad37d8132e2493ab9f28a88679c8a11,9537,11.0
sg:20640e0f5e5f4623b4612be20fac7014,1978,14.0
sg:eb0a8d69933040018679da696db3ca18,6205,12.0
sg:85c091f206d648659c9ec732707ee0e3,37358,22.0
sg:aa6a8368703d44f89451ab3da281ce90,9136,10.0
sg:a75c6c327495403b8eeeaa88d96b9181,9792,10.0
sg:d54bfb0c39e64b43b299f39127885ccc,47008,25.5
sg:5315cd06a20a40b88fb5750f82b3dddc,17147,13.0
sg:46aa1308f6794bc794b60936d45ee80c,7207,19.5
sg:a0db0cd87ada4bfd8dced18018c3b912,8304,18.5
sg:314b2ccfd1444823937ced0284894892,119966,20.0
sg:0079faed90784e2f8f961a986803e81d,16386,39.0
sg:4e4bba8049f0485a86c13ed6a26df39c,54658,15.0
sg:5d6086ed96f24c52bb2d7eb0e8ce8fa9,6970,15.0
sg:6c268218067f4eea90ff3343bef58e1c,11446,11.0
sg:c1f2d5adae0342e1b392bbe381c0dc3b,8594,48.0
sg:17f466c7f6cc4b0aabe7095c6e090a5c,27502,24.0
sg:fd5c3b51ec1f4206a6131f27b7ed7a4f,203998,22.0
sg:308d9fab551e45658a2588ba30038c76,30077,20.0
sg:a3d8975cbde64118b6746845379eeae3,136353,23.0
sg:83cac43ce2b04f6faefcd068dcccb378,56236,52.5
sg:f32194c269f34314b617fe24fb6c6822,207477,21.0
sg:ef796af6949c4e79bd0d673ea288bb3f,130129,23.0
sg:ff971f85918c47f38c370a222ec48868,12328,12.0
sg:8a337b58a8704abba5fbfc6631ecafad,5258,39.0
sg:ebe5c09fa96c4b2484f64d91b206f433,6034,47.0
sg:06e3170321ae42769a1bcfd8593e8073,8522,10.0
sg:8cda6fae9d64413086160e68b6b36673,16538,251.5
sg:1f9c4a3f57344bfe92bf0b7281c471d5,9118,11.5
sg:0114ba3271154d45a76f32a315f6e583,9538,10.0
sg:6df99a9a77524741bb1c2e642fe69569,7589,18.0
sg:0b7d922ea1844fd9af7041d90d55f09d,13305,20.5
sg:061b0af779d042d7aa1784c05460603b,9575,29.0
sg:cbf5178e2b1d494baf52380b1dccc82a,13305,15.5
sg:8baeb6ce061a4219bf29a922dac5888f,30311,10.0
sg:89f212cb74c94f5abf587871e906a469,8259,9.0
sg:98fad86e84534878bc0bf1780a8e15e2,10806,10.0
sg:3ff418bc3ec14162a9cff58b98da12a7,9174,10.0
sg:780d87dae8ff4e5ba04c02c2c5983ca0,146674,23.0
sg:5d1c7ff92d1e4245a4ddb8f9cc0b0afc,10964,9.0
sg:8f0cb4e52d6842808f9cfdd5233536a3,488457,21.0
sg:4da767b8f10e45cfb2c769836dad9389,24463,30.5
sg:2193fb62d4f94621983751d3fe51e539,8487,10.5
sg:ea7d6b237c124cc196c7c49ea94328a4,4456,10.0
sg:fcd34dc9e3c04480baaaa36d32302db6,8656,10.0
sg:7d47883602c84c968c84ab7cbce0199d,437832,23.0
sg:a770eea85d2947ffb53047de2d24e564,1611,21.0
sg:6db726b0f3544279a89494688a21e692,10588,9.0
sg:6faa0d2c1dea4f95852da14976c2c43b,115574,23.0
sg:de05c2f7f1eb46cf825335b1f9f276ca,8975,11.0
sg:0aeceaec66de40fea64dbb4acaff17fe,8924,11.0
sg:63cfcd3d7b484e6da00db3a41dc59310,2708,13.0
sg:a1f8ba1f8d464f93a9b27349b7ec7b0f,574899,23.0
sg:64be618ef8314e31896e9c4933a21ef2,13920,13.0
sg:ec4dda40e7b04960a2dd67bbda9d4971,9333,10.0
sg:6ccedd007f134140befafc98520d9080,9532,10.0
sg:a88f1a9cf8124073b3ea6f9e1b588418,8947,12.0
sg:2b691e582d314b6daaedfbc4ff005c98,7985,10.0
sg:b452826c6a474f2781c288502a35d465,6179,20.0
sg:e0b37afc5bce47aab37527f7b6b7ca05,1752,11.0
sg:9f623cce3c6347f885d4e4b9e7a95483,12427,17.5
sg:17397b7aa4284383b8187c0ada771eae,9699,10.0
