id,feet,median
sg:ae0b51e55315434c9a42a3f494faf49c,1181,19.0
sg:a1932446c2f74292bbee1b6c4faa5c16,36948,15.0
sg:6f9ba1ba03d3492c8353160d3473b022,16768,119.5
sg:581747d9487a4396a71b009712eceb12,5572,13.0
sg:870446ea7c4742369c48feb8b96b19c6,7761,11.0
sg:e102df94d39349958d8e1e25b3464bda,60168,16.0
sg:8fec568412584b1e8a66b4afe2b36db9,10289,13.0
sg:a03eb0887c3f4889b623c851d6e51718,3135,27.0
sg:18a7d745fbe84f41875e2c46665e7f84,19554,21.0
sg:806b05e8927e47d9a8100e21a48719b6,1947,63.0
sg:6d708b52119f49cb9d87f0e62ffa1c16,11277,17.0
sg:f5dc7e6ec67641a396a23fcdb75f492c,13125,17.5
sg:cf588f99cb754ea48a3082800835acba,98809,19.0
sg:b36d3a14bec6483f935b4b73653ee7c6,5738,101.0
sg:491a019506024bcfbc2971819ce9da94,39594,17.5
sg:6e266d4231864719a95eadb2743979e0,14566,171.0
sg:9d633a4d447a41a2a6ac30fdb7185765,8544,20.5
sg:41ec491bfad8423092826bd811c8c27e,7868,14.0
sg:95201ddc4e6d4d3e95c71a0abe71ad6b,10041,26.5
sg:784035ad3ee747498cc5314e4cbaa124,9202,19.5
sg:fd795b2b30b242b5983b86d3f72416ad,8840,21.0
sg:4c77d8a2a8c141c3b5be734cf85a777d,7134,13.0
sg:29d918e891cc4647a252caf7dbc58f88,25399,14.5
sg:7b86087d986642bab6aab70b9b305e40,10003,13.0
sg:f5d2dfc3a16148549f92f49743d95087,2287,17.0
sg:17911f26dc9941d1b5cd06f4140c0d5b,8500,23.0
sg:83935a9f39ee4c82a3bb2767e6b50a71,16354,17.0
sg:774bc0882d80444ca2acf131d90385ad,13306,16.0
sg:d34e4d50e25a4c8f9af118036da78f48,11421,14.5
sg:e43320257bdd4f31a3631eaf12188697,2410,14.0
sg:74f64ed1129247bcadd8e7559498652e,227664,28.0
sg:36f34d2942474369a4cef8ad18133b42,6106,19.0
sg:d9a131c0e025467484450216835e31b0,3678,11.5
sg:d358cae8c8af4c2bab8d0b1565eecfb4,43337,21.0
sg:cfa8c6bd8d7d404f98ef7c8d6e64ad85,17500,23.0
sg:c1a4c48fbe2d49c09f788851ccd7f07f,45154,43.5
