id,feet,median
sg:b5a2d0a1000c4a0990a41a4dacd93603,7957,10.5
sg:d28d9e833a2449648793b36a6711066e,6657,21.0
sg:23c803914fec4480bf2726bfb76b55df,12641,12.0
sg:fef551f90e724155917017631a0670d9,10708,12.0
sg:4f50c24ab34a4160a01a7a886a7c8bee,11813,14.0
sg:27cdbadc57ee40c0a33cc376cd3ef27b,10940,14.0
sg:a42c1243896248aaa50741ec68af0a59,1473289,62.0
sg:ee3f2d9451e34382aa5f15fd656e943e,4786,21.0
sg:fcd09be16c0041bb9d9af5831a12234b,12060,18.5
sg:545f9ae73a9e485693cfa903f2dc90fd,26715,91.0
sg:3f5477371a7040be9ee48bcf67182a71,11155,13.0
sg:a7ca3b79f9fb4c869f2ddfa6a61773b7,200120,25.0
sg:296df0a958d64480b55fe77388c9dbd2,10933,20.5
sg:3453a543843640d5bb7d455703d14e46,174385,24.0
sg:9f87f895ff3b40e989cb2ea3279f4ca7,161497,21.0
sg:6adab0d208e14ef5bad70dd7dcdf916c,9103,14.0
sg:1665f08763fd416991b8f39ace612622,9393,12.5
sg:f1bb6ff6216549e39b87ed4789347c95,45577,12.0
sg:4f4a7687d0da414fb3867833abbe29c4,4207,13.0
sg:cf1cb30f56de446ba29016fe21c12d90,96380,78.0
sg:99a644e9dc4d47a58c9af0ba3798154a,13363,10.0
sg:04a31515b4064422b80a58d609726bb2,54873,142.5
sg:a0f6612d09c74e0fb1765aaab48e532b,9183,13.0
sg:e4e457d66b14499aa3828b3f3adaae2f,7090,13.0
sg:fc659a100a8c403097ad6ef7ed0a1432,11565,16.0
sg:71a8b9c7a4f34e1190709eec121e7e6e,345277,27.0
sg:55b9a327a2ef4e8dba332c108eef8918,211479,26.0
sg:91df217535d24fd9ac156cd201536914,13974,14.5
sg:650e5f20a4a649c4b12596e390144e30,12155,13.0
sg:c98d5d29f955477c9b15894dc9b8632b,8259,14.0
sg:8b2a665c93bc4cf3b1504dcab8637955,85677,39.0
sg:41b4be5817d8470aabd5a40a8df34fae,12448,17.0
sg:e36b0c5c288444fcbc90f951def4e6a6,7854,17.0
sg:969a0bdef4644f8a8bf773c62f81786c,191907,22.0
sg:bd19b639a7974884b32227237c2b0f18,8209,10.5
sg:f04846132b854ca19e2ca120ff00ad7a,456873,24.0
sg:205bba0073cf4fb697b9338d42843d52,128158,20.0
sg:836b80fa0923485d91337ed546d7df52,5728,10.5
sg:27029d4549b948e484e2ee383c095d18,19362,16.0
sg:a80363df2e2a4c048b434e2585a69c13,2649,14.0
sg:fdef2d6199554b4db1d842edb219eec3,7753,11.0
sg:3743c3e8782a4d7ca14ddc4a43738dd0,9345,23.0
sg:af43f76825a748619f3563182a42d9ec,15902,86.0
sg:8ce63a048bb0430a9c298cc0126abe11,1078,118.0
sg:92c1f912e28c405994f98f245357b4c8,12104,11.0
sg:c93a531ed33e46e79884b908c2e2a616,9844,11.0
sg:83ef9a45d99d48278cd3458f69c33efd,10172,11.5
sg:29daad8cc18047709ca8344463d834f8,10205,19.5
sg:36f6a9cc82e74b32b89443d1b9b4bca8,9380,13.5
sg:e7ada7bd200f4cffbf3920cff8abe64a,3807,7.0
sg:726d48e9ce7c4f12962b5dd6f83b760f,9515,10.0
sg:e0dfbf4c48534469a1dd615b3ba6ed20,10758,15.5
sg:725ba31e9da142fd973878b2c1deaafb,11184,19.0
