id,feet,median
sg:8e05acaad09f472387f6309c9c91b630,10237,10.5
sg:021eb8dc329345f0832003a39b7e3601,229821,21.0
sg:a1d42c4945124d4fa2bede55c895e15d,13305,51.5
sg:ea9595d03e3b4240bfa78a5e548da93f,4504,11.5
sg:bd384610179a4594a64883d2ebf3d6b7,9583,10.0
sg:ca4a5b07f65b45ae8b8a1515c9b8d211,60710,30.0
sg:526f276880e740918c3c449b88b568ad,6579,15.0
sg:e32f16876c8f41f3aaffbd78412318f4,1260,53.0
sg:d8b101d83c16487fac26446957750a83,13414,21.5
sg:6e46d8f9fb0c42329f3d78a35ac7ed6c,613263,22.0
sg:01746a07a4c0461d8ae13ae9ed812d7c,18062,11.0
sg:14d814b985dc4c4e85b15df2dc28fd12,10548,14.0
sg:5303b014fe5b4d529e6c9cc767d5934c,225097,154.0
sg:54eb80d0ca9f4519bc4221cdbc2cb26a,11691,12.0
sg:3f7e23a0ded848b49ba847b80bdfa694,7492,10.5
sg:a5c448de80974cce9e7260217263cc0b,8265,10.0
sg:12f2f5a881f84e98a5a6bc5a67ce13ab,11527,22.5
sg:b5f10091f4f44fa8b58daee8b196083e,397668,21.0
sg:80496fbfe44a42a39f96065cf023278f,132628,24.0
sg:2a20687aa74742b0b923fd368734a2c6,13861,13.5
sg:94a76ecc2dda43b582e99d3576b54744,207946,22.0
sg:82fdddc374a44a00a49120494d780267,23892,19.0
sg:696d8b15926d4522aefcb745b4252836,154964,24.0
sg:b9824cb3a2484babb9a4384d40caf1ae,8612,19.0
sg:65881d1b99c14d4b9bad517816ddd073,14882,15.0
sg:e4fc635c044542e3b75c0333665a831d,8945,10.5
sg:fc6c31f1dd4949cf86eeb711f99412e8,8801,9.0
sg:9912428a383d4a30aba3ef26a2a5609e,9309,15.0
sg:e30be6733429408084a9e3cfe6a9bdec,7590,16.0
sg:05b20e32e2b34607b0c7c6b558b0c5a1,6880,12.0
sg:86dbf398b3074bf282f027e16e72e2d1,13171,11.0
sg:c8d56b657e9344a59243f8bce4cb1d19,8657,10.5
sg:69b948b1209a4554a488551baa1cc0f2,15344,15.0
sg:b28c3ae46c4b47999fd5adb4e61a9710,79402,15.0
sg:4ad0572e957a4b05aba7bdf2f0e5e8c4,56305,15.0
sg:b3eba34043c34b8d8bb6022253288627,40669,19.0
sg:552256bc3a804bb0b8a90d2760cca9b7,11132,17.5
sg:cedaf7089db247c389894574335df497,4883,10.0
sg:b11037b226914282a7802ee458b990f6,7851,18.0
sg:76bc5e787fa642b09a70fbc0b9ecd6db,18585,20.0
sg:5507843ecf5341e08b2606751101d61e,2504,8.0
sg:6c2a8beb95a646cfb005d9c6fbff7328,9910,13.0
sg:3622d569697841e4ad1571d1a3960131,9105,12.0
sg:d097de461e944819b11dfa52e4c6943c,9298,13.0
sg:15c0eca2b9184edaa78752ecbd4773b9,28248,20.0
sg:3095df37986345ef8a04d294d77b8b0e,6373,29.0
sg:e64ef7bfce084a32b8688018657e41c7,84781,14.5
sg:fba07cfd53ad407986c668180dfa6824,147701,23.0
sg:0d0a2622f8b245ba9d4cdb444b2515db,8423,17.5
sg:532913fb2e054d858fa347d3527f50b8,4851,20.0
sg:80c97f00efc847c987c29e8acf2c32a5,42714,15.0
sg:6e3a107d2548462a8731c4ac85af6316,9903,12.5
sg:9743476b903c4a3eac72e8865197cc7e,9105,11.5
sg:2fbc888557854e12b84c60f1568f7571,2600,10.0
